pixel_x,pixel_y,easting,northing
936.259018,1088.203361,391955.736631,5820812.590971
936.587829,804.340910,391957.638663,5820912.546965
936.917074,520.102944,391959.540718,5821012.502958
1219.928363,1089.293548,392055.692883,5820810.688946
1220.275645,805.118946,392057.594914,5820910.644917
1220.622768,521.074215,392059.496968,5821010.600887
1503.532870,1090.383486,392155.649108,5820808.786921
1503.821757,805.896594,392157.551138,5820908.742869
1504.109998,522.044738,392159.453191,5821008.698817
